GENERAL ENFORCEMENT REGULATIONS,General Provisions,1.1, General.,"""(a) The provisions of regulations promulgated under the Federal Food, Drug, and Cosmetic Act with respect to the doing of any act shall be applicable also to the causing of such act to be done.  (b) The definitions and interpretations of terms contained in sections 201 and 900 of the Federal Food, Drug, and Cosmetic Act (21 U.S.C. 321 and 387) shall be applicable also to such terms when used in regulations promulgated under that act.  (c) The definition of  package   in 1.20 and of  principal display panel   in 101.1, 201.60, 501.1, 701.10 and 801.60 of this chapter; and the requirements pertaining to uniform location, lack of qualification, and separation of the net quantity declaration in 101.7(f), 201.62(e), 501.105(f), 701.13(f) and 801.62(e) of this chapter to type size requirements for net quantity declaration in 101.7(i), 201.62(h), 501.105(i), 701.13(i) and 801.62(h) of this chapter, to initial statement of ounces in the dual declaration of net quantity in 101.7(j) and (m), 201.62(i) and (k), 501.105(j) and (m), 701.13(j) and (m) and 801.62(i) and (k) of this chapter, to initial statement of inches in declaration of net quantity in 201.62(m), 701.13(o) and 801.62(m) of this chapter, to initial statement of square inches in declaration of net quantity in 201.62(n), 701.13(p) and 801.62(n) of this chapter, to prohibition of certain supplemental net quantity statements in 101.7(o), 201.62(o), 501.105(o), 701.13(q) and 801.62(o) of this chapter, and to servings representations in 501.8 of this chapter are provided for solely by the Fair Packaging and Labeling Act. The other requirements of this part are issued under both the Fair Packaging and Labeling Act and the Federal Food, Drug, and Cosmetic Act, or by the latter act solely, and are not limited in their application by section 10 of the Fair Packaging and Labeling Act. [42 FR 15553, Mar. 22, 1977, as amended at 58 FR 17085, Apr. 1, 1993; 75 FR 73953, Nov. 30, 2010; 78 FR 69543, Nov. 20, 2013; 81 FR 59131, Aug. 29, 2016]"""
GENERAL ENFORCEMENT REGULATIONS,General Provisions,1.3, Definitions.,"""(a)  Labeling   includes all written, printed, or graphic matter accompanying an article at any time while such article is in interstate commerce or held for sale after shipment or delivery in interstate commerce.  (b)  Label   means any display of written, printed, or graphic matter on the immediate container of any article, or any such matter affixed to any consumer commodity or affixed to or appearing upon a package containing any consumer commodity."""
GENERAL ENFORCEMENT REGULATIONS,General Provisions,1.4, Authority citations.,"""(a) For each part of its regulations, the Food and Drug Administration includes a centralized citation of all of the statutory provisions that provide authority for any regulation that is included in that part.  (b) The agency may rely on any one or more of the authorities that are listed for a particular part in implementing or enforcing any section in that part.  (c) All citations of authority in this chapter will list the applicable sections in the organic statute if the statute is the Federal Food, Drug, and Cosmetic Act, the Public Health Service Act, or the Fair Packaging and Labeling Act. References to an act or a section thereof include references to amendments to that act or section. These citations will also list the corresponding United States Code (U.S.C.) sections. For example, a citation to section 701 of the Federal Food, Drug, and Cosmetic Act would be listed: Sec. 701 of the Federal Food, Drug, and Cosmetic Act (21 U.S.C. 371).  (d) If the organic statute is one other than those specified in paragraph (c) of this section, the citations of authority in this chapter generally will list only the applicable U.S.C. sections. For example, a citation to section 552 of the Administrative Procedure Act would be listed: 5 U.S.C. 552. The agency may, where it determines that such measures are in the interest of clarity and public understanding, list the applicable sections in the organic statute and the corresponding U.S.C. section in the same manner set out in paragraph (c) of this section. References to an act or a section thereof include references to amendments to that act or section.  (e) Where there is no U.S.C. provision, the agency will include a citation to the U.S. Statutes at Large. Citations to the U.S. Statutes at Large will refer to volume and page.  (f) The authority citations will include a citation to executive delegations (i.e., Executive Orders), if any, necessary to link the statutory authority to the agency. [54 FR 39630, Sept. 27, 1989]"""
GENERAL ENFORCEMENT REGULATIONS,General Labeling Requirements,1.20, Presence of mandatory label information.,"""In the regulations specified in 1.1(c) of this chapter, the term  package   means any container or wrapping in which any food, drug, device, or cosmetic is enclosed for use in the delivery or display of such commodities to retail purchasers, but does not include:  (a) Shipping containers or wrappings used solely for the transportation of any such commodity in bulk or in quantity to manufacturers, packers, processors, or wholesale or retail distributors;  (b) Shipping containers or outer wrappings used by retailers to ship or deliver any such commodity to retail customers if such containers and wrappings bear no printed matter pertaining to any particular commodity; or  (c) Containers subject to the provisions of the Act of August 3, 1912 (37 Stat. 250, as amended; 15 U.S.C. 231-233), the Act of March 4, 1915 (38 Stat. 1186, as amended; 15 U.S.C. 234-236), the Act of August 31, 1916 (39 Stat. 673, as amended; 15 U.S.C. 251-256), or the Act of May 21, 1928 (45 Stat. 635, as amended; 15 U.S.C. 257-257i).  (d) Containers used for tray pack displays in retail establishments.  (e) Transparent wrappers or containers which do not bear written, printed, or graphic matter obscuring the label information required by this part.  A requirement contained in this part that any word, statement, or other information appear on the label shall not be considered to be complied with unless such word, statement, or information also appears on the outer container or wrapper of the retail package of the article, or, as stated in paragraph (e) of this section, such information is easily legible by virtue of the transparency of the outer wrapper or container. Where a consumer commodity is marketed in a multiunit retail package bearing the mandatory label information as required by this part and the unit containers are not intended to be sold separately, the net weight placement requirement of 101.7(f) applicable to such unit containers is waived if the units are in compliance with all the other requirements of this part. [42 FR 15553, Mar. 22, 1977, as amended at 75 FR 73953, Nov. 30, 2010; 78 FR 69543, Nov. 20, 2013; 81 FR 59131, Aug. 29, 2016]"""
GENERAL ENFORCEMENT REGULATIONS,General Labeling Requirements,1.21, Failure to reveal material facts.,"""(a) Labeling of a food, drug, device, cosmetic, or tobacco product shall be deemed to be misleading if it fails to reveal facts that are:  (1) Material in light of other representations made or suggested by statement, word, design, device or any combination thereof; or  (2) Material with respect to consequences which may result from use of the article under: (i) The conditions prescribed in such labeling or (ii) such conditions of use as are customary or usual.  (b) Affirmative disclosure of material facts pursuant to paragraph (a) of this section may be required, among other appropriate regulatory procedures, by  (1) Regulations in this chapter promulgated pursuant to section 701(a) of the act; or  (2) Direct court enforcement action.  (c) Paragraph (a) of this section does not:  (1) Permit a statement of differences of opinion with respect to warnings (including contraindications, precautions, adverse reactions, and other information relating to possible product hazards) required in labeling for food, drugs, devices, cosmetics, or tobacco products under the Federal Food, Drug, and Cosmetic Act.  (2) Permit a statement of differences of opinion with respect to the effectiveness of a drug unless each of the opinions expressed is supported by substantial evidence of effectiveness as defined in sections 505(d) and 512(d) of the act. [42 FR 15553, Mar. 22, 1977, as amended at 77 FR 5176, Feb. 2, 2012]"""
GENERAL ENFORCEMENT REGULATIONS,General Labeling Requirements,1.23, Procedures for requesting variations and exemptions from required label statements.,"""Section 403(e) of the act (in this part 1, the term  act   means the Federal Food, Drug, and Cosmetic Act) provides for the establishment by regulation of reasonable variations and exemptions for small packages from the required declaration of net quantity of contents. Section 403(i) of the act provides for the establishment by regulation of exemptions from the required declaration of ingredients where such declaration is impracticable, or results in deception or unfair competition. Section 502(b) of the act provides for the establishment by regulation of reasonable variations and exemptions for small packages from the required declaration of net quantity of contents. Section 602(b) of the act provides for the establishment by regulation of reasonable variations and exemptions for small packages from the required declaration of net quantity of contents. Section 5(b) of the Fair Packaging and Labeling Act provides for the establishment by regulation of exemptions from certain required declarations of net quantity of contents, identity of commodity, identity and location of manufacturer, packer, or distributor, and from declaration of net quantity of servings represented, based on a finding that full compliance with such required declarations is impracticable or not necessary for the adequate protection of consumers, and a further finding that the nature, form, or quantity of the packaged consumer commodity or other good and sufficient reasons justify such exemptions. The Commissioner, on his own initiative or on petition of an interested person, may propose a variation or exemption based upon any of the foregoing statutory provisions, including proposed findings if section 5(b) of the Fair Packaging and Labeling Act applies, pursuant to parts 10, 12, 13, 14, 15, 16, and 19 of this chapter."""
GENERAL ENFORCEMENT REGULATIONS,General Labeling Requirements,1.24, Exemptions from required label statements.,"""The following exemptions are granted from label statements required by this part:  (a)  Foods.   (1) While held for sale, a food shall be exempt from the required declaration of net quantity of contents specified in this part if said food is received in bulk containers at a retail establishment and is accurately weighed, measured, or counted either within the view of the purchaser or in compliance with the purchaser's order.  (2) Random food packages, as defined in 101.7(j) of this chapter, bearing labels declaring net weight, price per pound or per specified number of pounds, and total price shall be exempt from the type size, dual declaration, and placement requirements of 101.7 of this chapter if the accurate statement of net weight is presented conspicuously on the principal display panel of the package. In the case of food packed in random packages at one place for subsequent shipment and sale at another, the price sections of the label may be left blank provided they are filled in by the seller prior to retail sale. This exemption shall also apply to uniform weight packages of cheese and cheese products labeled in the same manner and by the same type of equipment as random food packages exempted by this paragraph (a)(2) except that the labels shall bear a declaration of price per pound and not price per specified number of pounds.  (3) Individual serving-size packages of foods containing less than 1/2 ounce or less than 1/2 fluid ounce for use in restaurants, institutions, and passenger carriers, and not intended for sale at retail, shall be exempt from the required declaration of net quantity of contents specified in this part.  (4) Individually wrapped pieces of  penny candy   and other confectionery of less than one-half ounce net weight per individual piece shall be exempt from the labeling requirements of this part when the container in which such confectionery is shipped is in conformance with the labeling requirements of this part. Similarly, when such confectionery items are sold in bags or boxes, such items shall be exempt from the labeling requirements of this part, including the required declaration of net quantity of contents specified in this part when the declaration on the bag or box meets the requirements of this part.  (5)(i) Soft drinks packaged in bottles shall be exempt from the placement requirements for the statement of identity prescribed by 101.3 (a) and (d) of this chapter if such statement appears conspicuously on the bottle closure. When such soft drinks are marketed in a multiunit retail package, the multiunit retail package shall be exempt from the statement of identity declaration requirements prescribed by 101.3 of this chapter if the statement of identity on the unit container is not obscured by the multiunit retail package.  (ii) A multiunit retail package for soft drinks shall be exempt from the declaration regarding name and place of business required by 101.5 of this chapter if the package does not obscure the declaration on unit containers or if it bears a statement that the declaration can be found on the unit containers and the declaration on the unit containers complies with 101.5 of this chapter. The declaration required by 101.5 of this chapter may appear on the top or side of the closure of bottled soft drinks if the statement is conspicuous and easily legible.  (iii) Soft drinks packaged in bottles which display other required label information only on the closure shall be exempt from the placement requirements for the declaration of contents prescribed by 101.7(f) of this chapter if the required content declaration is blown, formed, or molded into the surface of the bottle in close proximity to the closure.  (iv) Where a trademark on a soft drink package also serves as, or is, a statement of identity, the use of such trademark on the package in lines not parallel to the base on which the package rests shall be exempted from the requirement of 101.3(d) of this chapter that the statement be in lines parallel to the base so long as there is also at least one statement of identity in lines generally parallel to the base.  (v) A multiunit retail package for soft drinks in cans shall be exempt from the declaration regarding name and place of business required by 101.5 of this chapter if the package does not obscure the declaration on unit containers or if it bears a statement that the declaration can be found on the unit containers and the declaration on the unit containers complies with 101.5 of this chapter. The declaration required by 101.5 of this chapter may appear on the top of soft drinks in cans if the statement is conspicuous and easily legible, provided that when the declaration is embossed, it shall appear in type size at least one-eighth inch in height, or if it is printed, the type size shall not be less than one-sixteenth inch in height. The declaration may follow the curvature of the lid of the can and shall not be removed or obscured by the tab which opens the can.  (6)(i) Ice cream, french ice cream, ice milk, fruit sherbets, water ices, quiescently frozen confections (with or without dairy ingredients), special dietary frozen desserts, and products made in semblance of the foregoing, when measured by and packaged in 1/2-liquid pint and 1/2-gallon measure-containers, as defined in the ""Measure Container Code of National Bureau of Standards Handbook 44,"" Specifications, Tolerances, and Other Technical Requirements for Weighing and Measuring Devices, Sec. 4.45 ""Measure-Containers,"" which is incorporated by reference, are exempt from the requirements of 101.7(b)(2) of this chapter to the extent that net contents of 8-fluid ounces and 64-fluid ounces (or 2 quarts) may be expressed as 1/2 pint and 1/2 gallon, respectively. Copies are available from the Center for Food Safety and Applied Nutrition (HFS-150), Food and Drug Administration, 5001 Campus Dr., College Park, MD 20740, or at the National Archives and Records Administration (NARA). For information on the availability of this material at NARA, call 202-741-6030, or go to:  http://www.archives.gov/federalregister/codeoffederalregulations/ibrlocations.html.   (ii) The foods named in paragraph (a)(6)(i) of this section, when measured by and packaged in 1-liquid pint, 1-liquid quart, and 1/2-gallon measure-containers, as defined in the ""Measure Container Code of National Bureau of Standards Handbook 44,"" Specifications, Tolerances, and Other Technical Requirements for Weighing and Measuring Devices, Sec. 4.45 ""Measure-Containers,"" which is incorporated by reference, are exempt from the dual net-contents declaration requirement of 101.105(j) of this chapter. Copies are available from the Center for Food Safety and Applied Nutrition (HFS-150), Food and Drug Administration, 5001 Campus Dr., College Park, MD 20740, or at the National Archives and Records Administration (NARA). For information on the availability of this material at NARA, call 202-741-6030, or go to:  http://www.archives.gov/federalregister/codeoffederalregulations/ibrlocations.html.   (iii) The foods named in paragraph (a)(6)(i) of this section, when measured by and packaged in 1/2-liquid pint, 1-liquid pint, 1-liquid quart, 1/2-gallon, and 1-gallon measured-containers, as defined in the ""Measure Container Code of National Bureau of Standards Handbook 44,"" Specifications, Tolerances, and Other Technical Requirements for Weighing and Measuring Devices, Sec. 4.45 ""Measure-Containers,"" which is incorporated by reference, are exempt from the requirement of 101.7(f) of this chapter that the declaration of net contents be located within the bottom 30 percent of the principal display panel. Copies are available from the Center for Food Safety and Applied Nutrition (HFS-150), Food and Drug Administration, 5001 Campus Dr., College Park, MD 20740, or at the National Archives and Records Administration (NARA). For information on the availability of this material at NARA, call 202-741-6030, or go to:  http://www.archives.gov/federalregister/codeoffederalregulations/ibrlocations.html.   (7)(i) Milk, cream, light cream, coffee or table cream, whipping cream, light whipping cream, heavy or heavy whipping cream, sour or cultured sour cream, half-and-half, sour or cultured half-and-half, reconstituted or recombined milk and milk products, concentrated milk and milk products, skim or skimmed milk, vitamin D milk and milk products, fortified milk and milk products, homogenized milk, flavored milk and milk products, buttermilk, cultured buttermilk, cultured milk or cultured whole buttermilk, low-fat milk (0.5 to 2.0 percent butterfat), and acidified milk and milk products, when packaged in containers of 8- and 64-fluid-ounce capacity, are exempt from the requirements of 101.7(b)(2) of this chapter to the extent that net contents of 8 fluid ounces and 64 fluid ounces (or 2 quarts) may be expressed as 1/2 pint and 1/2 gallon, respectively.  (ii) The products listed in paragraph (a)(7)(i) of this section, when packaged in glass or plastic containers of 1/2-pint, 1-pint, 1-quart, 1/2-gallon, and 1-gallon capacities are exempt from the placement requirement of 101.7(f) of this chapter that the declaration of net contents be located within the bottom 30 percent of the principal display panel, provided that other required label information is conspicuously displayed on the cap or outside closure and the required net quantity of contents declaration is conspicuously blown, formed, or molded into or permanently applied to that part of the glass or plastic container that is at or above the shoulder of the container.  (iii) The products listed in paragraph (a)(7)(i) of this section, when packaged in containers of 1-pint, 1-quart, and 1/2-gallon capacities are exempt from the dual net-contents declaration requirement of 101.7(j) of this chapter.  (8) Wheat flour products, as defined by 137.105, 137.155, 137.160, 137.165, 137.170, 137.175, 137.180, 137.185, 137.200, and 137.205 of this chapter, packaged:  (i) In conventional 2-, 5-, 10-, 25-, 50-, and 100-pound packages are exempt from the placement requirement of 101.7(f) of this chapter that the declaration of net contents be located within the bottom 30 percent of the area of the principal display panel of the label; and  (ii) In conventional 2-pound packages are exempt from the dual net-contents declaration requirement of 101.105(j) of this chapter provided the quantity of contents is expressed in pounds.  (9)(i) Twelve shell eggs packaged in a carton designed to hold 1 dozen eggs and designed to permit the division of such carton by the retail customer at the place of purchase into two portions of one-half dozen eggs each are exempt from the labeling requirements of this part with respect to each portion of such divided carton if the carton, when undivided, is in conformance with the labeling requirements of this part.  (ii) Twelve shell eggs packaged in a carton designed to hold 1 dozen eggs are exempt from the placement requirements for the declaration of contents prescribed by 101.7(f) of this chapter if the required content declaration is otherwise placed on the principal display panel of such carton and if, in the case of such cartons designed to permit division by retail customers into two portions of one-half dozen eggs each, the required content declaration is placed on the principal display panel in such a manner that the context of the content declaration is destroyed upon division of the carton.  (10) Butter as defined in 42 Stat. 1500 (excluding whipped butter):  (i) In 8-ounce and in 1-pound packages is exempt from the requirements of 101.7(f) of this chapter that the net contents declaration be placed within the bottom 30 percent of the area of the principal display panel;  (ii) In 1-pound packages is exempt from the requirements of 101.7(j)(1) of this chapter that such declaration be in terms of ounces and pounds, to permit declaration of ""1-pound"" or ""one pound""; and  (iii) In 4-ounce, 8-ounce, and 1-pound packages with continuous label copy wrapping is exempt from the requirements of 101.3 and 101.7(f) of this chapter that the statement of identity and net contents declaration appear in lines generally parallel to the base on which the package rests as it is designed to be displayed, provided that such statement and declaration are not so positioned on the label as to be misleading or difficult to read as the package is customarily displayed at retail.  (11) Margarine as defined in 166.110 of this chapter and imitations thereof in 1-pound rectangular packages, except for packages containing whipped or soft margarine or packages that contain more than four sticks, are exempt from the requirement of 101.7(f) of this chapter that the declaration of the net quantity of contents appear within the bottom 30 percent of the principal display panel and from the requirement of 101.7(j)(1) of this chapter that such declaration be expressed both in ounces and in pounds to permit declaration of ""1-pound"" or ""one pound,"" provided an accurate statement of net weight appears conspicuously on the principal display panel of the package.  (12) Corn flour and related products, as they are defined by 137.211, 137.215, and 137.230 through 137.290 of this chapter, packaged in conventional 5-, 10-, 25-, 50-, and 100-pound bags are exempt from the placement requirement of 101.7(f) of this chapter that the declaration of net contents be located within the bottom 30 percent of the area of the principal display panel of the label.  (13)(i) Single strength and less than single strength fruit juice beverages, imitations thereof, and drinking water when packaged in glass or plastic containers of 1/2-pint, 1-pint, 1-quart, 1/2-gallon, and 1-gallon capacities are exempt from the placement requirement of 101.7(f) of this chapter that the declaration of net contents be located within the bottom 30 percent of the principal display panel:  Provided,   That other required label information is conspicuously displayed on the cap or outside closure and the required net quantity of contents declaration is conspicuously blown, formed, or molded into or permanently applied to that part of the glass or plastic container that is at or above the shoulder of the container.  (ii) Single strength and less than single strength fruit juice beverages, imitations thereof, and drinking water when packaged in glass, plastic, or paper (fluid milk type) containers of 1-pint, 1-quart, and 1/2-gallon capacities are exempt from the dual net-contents declaration requirement of 101.7(j) of this chapter.  (iii) Single strength and less than single strength fruit juice beverages, imitations thereof, and drinking water when packaged in glass, plastic, or paper (fluid milk type) containers of 8- and 64-fluid-ounce capacity, are exempt from the requirements of 101.7(b)(2) of this chapter to the extent that net contents of 8 fluid ounces and 64 fluid ounces (or 2 quarts) may be expressed as 1/2 pint (or half pint) and 1/2 gallon (or half gallon), respectively.  (14) The unit containers in a multiunit or multicomponent retail food package shall be exempt from regulations of section 403 (e)(1), (g)(2), (i)(2), (k), and (q) of the act with respect to the requirements for label declaration of the name and place of business of the manufacturer, packer, or distributor; label declaration of ingredients; and nutrition information when:  (i) The multiunit or multicomponent retail food package labeling meets all the requirements of this part;  (ii) The unit containers are securely enclosed within and not intended to be separated from the retail package under conditions of retail sale; and  (iii) Each unit container is labeled with the statement ""This Unit Not Labeled For Retail Sale"" in type size not less than one-sixteenth of an inch in height. The word ""Individual"" may be used in lieu of or immediately preceding the word ""Retail"" in the statement.  (b)  Drugs.   Liquid over-the-counter veterinary preparations intended for injection shall be exempt from the declaration of net quantity of contents in terms of the U.S. gallon of 231 cubic inches and quart, pint, and fluid-ounce subdivisions thereof as required by 201.62 (b), (i), and (j) of this chapter, and from the dual declaration requirements of 201.62(i) of this chapter, if such declaration of net quantity of contents is expressed in terms of the liter and milliliter, or cubic centimeter, with the volume expressed at 68 deg. F (20 deg. C).  (c)  Cosmetics.   Cosmetics in packages containing less than one-fourth ounce avoirdupois or one-eighth fluid ounce shall be exempt from compliance with the requirements of section 602(b)(2) of the Federal Food, Drug, and Cosmetic Act and section 4(a)(2) of the Fair Packaging and Labeling Act:  (1) When such cosmetics are affixed to a display card labeled in conformance with all labeling requirements of this part; or  (2) When such cosmetics are sold at retail as part of a cosmetic package consisting of an inner and outer container and the inner container is not for separate retail sale and the outer container is labeled in conformance with all labeling requirements of this part. [42 FR 15553, Mar. 22, 1977, as amended at 47 FR 946, Jan. 8, 1982; 47 FR 32421, July 27, 1982; 49 FR 13339, Apr. 4, 1984; 54 FR 9033, Mar. 3, 1989; 58 FR 2174, Jan. 6, 1993; 61 FR 14478, Apr. 2, 1996; 66 FR 56035, Nov. 6, 2001; 81 FR 49895, July 29, 2016; 81 FR 59131, Aug. 29, 2016]"""
GENERAL ENFORCEMENT REGULATIONS,Electronic Import Entries,1.70, Scope.,"""This subpart specifies the data elements that are required by the Food and Drug Administration (FDA) to be included in an electronic import entry submitted in the Automated Commercial Environment (ACE) system or any other U.S. Customs and Border Protection (CBP)-authorized electronic data interchange (EDI) system, which contains an article that is being imported or offered for import into the United States and that is regulated by FDA."""
GENERAL ENFORCEMENT REGULATIONS,Electronic Import Entries,1.71, Definitions.,"""For purposes of subpart D:  ACE filer   means the person who is authorized to submit an electronic import entry for an FDA-regulated product in the Automated Commercial Environment or any other CBP-authorized EDI system.  Acidified food   means acidified food, as defined in 114.3(b) of this chapter, and subject to the requirements in parts 108 and 114 of this chapter.  Automated Commercial Environment   or  ACE   means the automated and electronic system for processing commercial importations that is operated by U.S. Customs and Border Protection in accordance with the National Customs Automation Program established in Subtitle B of Title VI--Customs Modernization, in the North American Free Trade Agreement Implementation Act (Pub. L. 103-182, 107 Stat. 2057, 2170, December 8, 1993) (Customs Modernization Act), or any other CBP-authorized EDI system.  Biological product   means a biological product as defined in section 351(i)(1) of the Public Health Service Act.  Cosmetic   means a cosmetic as defined in section 201(i) of the Federal Food, Drug, and Cosmetic Act.  CBP or U.S. Customs and Border Protection   means the Federal Agency that is primarily responsible for maintaining the integrity of the borders and ports of entry of the United States.  Drug   means those articles meeting the definition of a drug in section 201(g)(1) of the Federal Food, Drug, and Cosmetic Act.  FDA or Agency   means the U.S. Food and Drug Administration.  Food   means food as defined in section 201(f) of the Federal Food, Drug, and Cosmetic Act.  Food contact substance   means any substance, as defined in section 409(h)(6) of the Federal Food, Drug, and Cosmetic Act, that is intended for use as a component of materials used in manufacturing, packing, packaging, transporting, or holding food if such use is not intended to have any technical effect in such food.  HCT/Ps   means human cells, tissues, or cellular or tissue-based products, as defined in 1271.3(d) of this chapter.  Low-acid canned food   means a thermally processed low-acid food (as defined in 113.3(n) of this chapter) in a hermetically sealed container (as defined in 113.3(j) of this chapter), and subject to the requirements in parts 108 and 113 of this chapter.  Medical device   means a device as defined in section 201(h) of the Federal Food, Drug, and Cosmetic Act, that is intended for use in humans.  Radiation-emitting electronic product   means an electronic product as defined in section 531 of the Federal Food, Drug, and Cosmetic Act.  Tobacco product   means a tobacco product as defined in section 201(rr) of the Federal Food, Drug, and Cosmetic Act."""
GENERAL ENFORCEMENT REGULATIONS,Electronic Import Entries,1.72, Data elements that must be submitted in ACE for articles regulated by FDA.,"""General.   When filing an entry in ACE, the ACE filer shall submit the following information for food contact substances, drugs, biological products, HCT/Ps, medical devices, radiation-emitting electronic products, cosmetics, and tobacco products.  (a)  Product identifying information   for the article that is being imported or offered for import. This consists of:  (1)  FDA Country of Production,   which is the country where the article was last manufactured, processed, or grown (including harvested, or collected and readied for shipment to the United States). The FDA Country of Production for an article that has undergone any manufacturing or processing is the country where that activity occurred provided that the manufacturing or processing had more than a minor, negligible, or insignificant effect on the article.  (2)  The Complete FDA Product Code,   which must be consistent with the invoice description of the product.  (3)  The Full Intended Use Code.   (b)  Importer of record contact information,   which is the telephone and email address of the importer of record."""
